state,x,y
Alabama,231,-120
Alaska,-332,-285
Arizona,-334,-65
Arkansas,100,-83
California,-501,30
Colorado,-181,39
Connecticut,490,145
Delaware,469,75
Florida,368,-240
Georgia,311,-142
Hawaii,-473,-269
Idaho,-347,201
Illinois,158,60
Indiana,226,71
Iowa,69,119
Kansas,-30,17
Kentucky,258,-5
Louisiana,105,-204
Maine,535,276
Maryland,436,60
Massachusetts,498,180
Michigan,245,156
Minnesota,44,240
Mississippi,163,-142
Missouri,95,17
Montana,-232,270
Nebraska,-58,102
Nevada,-421,94
New Hampshire,506,210
New Jersey,475,102
New Mexico,-208,-80
New York,410,167
North Carolina,393,-42
North Dakota,-69,261
Ohio,293,85
Oklahoma,-6,-65
Oregon,-466,231
Pennsylvania,390,119
Rhode Island,520,158
South Carolina,362,-88
South Dakota,-67,179
Tennessee,233,-57
Texas,-58,-169
Utah,-313,65
Vermont,477,233
Virginia,396,10
Washington,-431,323
West Virginia,339,42
Wisconsin,136,194
Wyoming,-213,157
